site	class	severity	verdict	measurement	bound	fix_id
supabase/migrations/20260721010000_fix873_contract_flow_tag_dedup.sql:391 (also 20260719000000_fix837:244, 20260719020000_fix838:456)	CLASS-8-STATUS-AS-LIVENESS	red	CONFIRMED	CORRECTED MEASUREMENT (all prod, via read-only node scripts/db-query.mjs --prod, 2026-08-06/07). DEFECT (unchanged, exact): refresh_contract_flow_rollups() and rebuild_official_vote_stats() write their only data_sync_log row as the last statement of a single COMMIT-free transaction, with started_at = completed_at = now() = transaction_timestamp(). Every row therefore records a 0 ms duration stampe	Today: 100% of firings of two live pg_cron jobs (vote-stats-refresh daily 03:30 UTC, contract-flow-rollups-refresh weekly Thu 14:00 UTC) are mis-recorded. contract-flow's real cost went 986.2 s (07-23, runid 84) -> 7,125.6 s (07-30, runid 130) = 7.2x in one week and is now at 33.0% of the 21,600 s /	FIX-979
supabase/migrations/20260719000000_fix837_materialize_official_vote_stats.sql:243; 20260721010000_fix873_contract_flow_tag_dedup.sql:390; 202607150200	CLASS-8-STATUS-AS-LIVENESS	red	REFUTED	Corrected statement of what is actually true, and what it is worth: FACT (survives): 5 of 21 live prod pg_cron jobs write no status='running' start-row to data_sync_log — vote-stats-refresh (jobid 27), contract-flow-rollups-refresh (28), agency-staffing-rollup-refresh (25) each write a single terminal 'complete' row with started_at = completed_at = now(); abuse-events-retention (29) and ec-vacuum-	Blind window at observed maxima: 7,125.6 + 1,183.3 + 7x702.3 + 7x21.2 = 13,373 s = 3.71 h/week = 2.2% of wall-clock during which a heavy prod writer is rewriting rollup tables and every status='running' probe returns clean. At observed means it is 3,844 s = 1.07 h/week. The worst single window is Th	FIX-979
packages/data/src/pipelines/index.ts:443 (sole automatic caller of reap_stale_sync_log); supabase/migrations/20260731000000_fix944_resumable_donor_rol	CLASS-8-STATUS-AS-LIVENESS	orange	REFUTED	data_sync_log span is 107.3 days (2026-04-22 04:08 → 2026-08-07 12:30), not 88.1 — orphan rate 0.87/day, not 1.056. Resident orphans on prod right now: 0. Exactly one status='running' row exists (donor_rollup_refresh, started 12:30:23, age 55 min) and it is a live cron run, not an orphan. Post-FIX-944 reaped rows: 17, all with completed_at NULL — no lifetime derivable.	Expected stale-'running' rows resident at a random instant = 1.056/day x (18.62/24) day = 0.82. More often than not, at least one data_sync_log row on prod is asserting a dead process is alive. The failure is self-reinforcing: 31 of 93 orphans are nightly_cron rows, and nightly_cron is the reaper's 	
scripts/verify-fix916-closeout.sql:33-35; scripts/db-clone-prod.mjs:249-251; docs/audits/2026-07-30-fix933-same-person-merge-local.md:202-203	CLASS-8-STATUS-AS-LIVENESS	yellow	CONFIRMED	Orphans surface as status='reaped', not 'reaped_orphan' (0 rows). 19 reaped rows / 8.2 days = 2.31 orphans/day; mean dwell as 'running' 705 min (11.75 h), max 1,379 min; ~1.1 stale-'running' rows resident at any instant vs the claimed 0.53 per 12 h invocation. Current prod state: exactly 1 'running' row in the whole 1,526-row table. Live sites: 1 of 3 (db-clone-prod.mjs, non-blocking warning); the	Cost today is diagnostic, not compute — but it is a gate. A false positive on C0 defers a prod close-out and sends the operator hunting a pipeline that died hours ago; the FIX-944 bullet is the precedent for how far a wrong reading from this table can propagate (a whole causal story plus the FIX-950	FIX-989
supabase/migrations/20260510000002_pipeline_runtime_stats_mv.sql:31-38, consumed live by apps/civitics/app/admin/pipeline-health/page.tsx:85	CLASS-8-STATUS-AS-LIVENESS	orange	REFUTED	7 of 47 MV rows all-zero today (14.9%), not 8 of 41 (19.5%): official_vote_stats_rebuild(19), small_dollar_rollup_backfill(1), agency_staffing_rollup_refresh(4), contract_flow_rollups_rebuild(4), canary_check(32), sector_affinity_rollup_backfill(4), treemap_individuals_focused_backfill(1). treemap_individuals_global_refresh is NO LONGER all-zero (p50 0 / p95 2,084,290 / max 2,779,053 ms).	Playbook D4 requires a RATE measure; for 19.5% of the fleet the only rate substrate the platform has is structurally zero, and for two more pipelines it is reaper latency. This is precisely the regression class D4 was written for — contract-flow's 986.2 s -> 7,125.6 s (7.2x in six days) is the same 	FIX-979
supabase/migrations/20260420030000_enrichment_queue.sql:97 (and 20260424010000:29, 20260424020000:32); recovery only via packages/data/src/drain/statu	CLASS-8-STATUS-AS-LIVENESS	yellow	REFUTED	44 processing rows confirmed (all tag/financial_entity, created 2026-04-25, claimed 2026-04-29 06:21:21-06:28:58). Pending is 6,417 not 6,415 (26 summary/agency + 2,784 summary/official + 75 summary/proposal + 17 tag/financial_entity + 3,515 tag/proposal), so 44/6,461 = 0.68%. New stranded rows in the 100 days since: 0.	Monotonic and unbounded: the accrual rate is one batch per crashed/rate-limited drain worker, and the repo's own runbook documents this as an expected event (CLAUDE.md, Enrichment Queue Drain: 'Rate-limit hits land as ... with no results file written. Those batches need --reclaim --stale-minutes 0 t	
packages/data/src/pipelines/sync-log.ts:93-111	CLASS-8-STATUS-AS-LIVENESS	yellow	REFUTED	STATIC, bounded by the writer census. All GHA-launched pipelines route through startSync(); prod data_sync_log carries 54 distinct pipeline names, of which the GHA set (nightly_cron, fec_bulk, congress_officials, congress_votes, openstates_bulk_people, regulations, tag_rules, littlesis, edgar_daily, courtlistener, usaspending_bulk, usaspending_bulk_assistance, irs990, elections and ~15 more) all u	Unmeasurable by construction — that is the defect. The failure is invisible to data_sync_log (no row), to mark-killed.ts (which needs a 'running' row to find an orphan, so the kill is classified 'missing' not 'killed' — the exact pre-FIX-462 failure mode, now reachable via a different route), and to	
packages/data/src/pipelines/littlesis/writer.ts:51 (preloadKnownLittleSisIds)	CLASS-1-per-entity-loops-typescript	yellow	CONFIRMED	348,508 littlesis refs -> 349 OFFSET pages; 175x row-visit amplification (61.08M vs 348,508). Cost = 130.7 s per run, WEEKLY not nightly: 1045 pgss calls / 349 pages = 3 runs in the 21d 09h window since stats_reset 2026-07-17; 391.5 s TOTAL over 21 days (~18.6 s/day amortised), ~6% of the ~35-min LittleSis stage. No PR3 growth term.	TODAY: 350 sequential pages, total row-visits = 350×351/2 × 1,000 = 61,425,000 against 349,861 rows a keyset walk would touch = ~176× amplification; 391.5 s measured, incurred every night (GHA nightly.yml cron '0 2 * * *' → data:nightly:enrichment-heavy:ci). AFTER PR3 MULTIPLIES DATA: cost is QUADRA	FIX-984
packages/data/src/drain/status.ts:30-44	CLASS-1-per-entity-loops-typescript	red	REFUTED	Site-attributable ceiling: 584 calls / 1,201.3 s of the status+task_type shape, SHARED with /api/claude/status (2 per request). pgss window is 21 days (stats_reset 2026-07-17 03:53), so the absolute ceiling is 57 s/day of prod execution, not 45.7 min at this site. The 268-call / 1,106.3 s status-only shape and most of the 102-call / 474.6 s claimed_at shape belong to sections.ts. Table re-derived:	TODAY: 10 full scans of a 305 MB table per `pnpm data:drain:status` invocation. The runbook in CLAUDE.md calls it at the start of EVERY drain wave ('pnpm data:drain:status --reclaim --stale-minutes 0', step 1 of the wave loop, 5 waves per session) — 45.7 min already spent. One `SELECT status, task_t	
packages/data/src/pipelines/tags/rules.ts:741-747 (tagProposals)	CLASS-1-per-entity-loops-typescript	orange	CONFIRMED	PAGE_SIZE=500 → 175 pages/run (not 88). Row-visits 500 × (175·176/2) = 7,700,000 against 87,403 rows = 88× amplification (not 45×). Prod pgss re-read 2026-08-07: calls 3,674, mean 241.61 ms, total 887,658 ms, 34,539 blocks/call — i.e. ~42 s and ~48 GB of buffer traffic per nightly run, 21 runs since the 2026-07-17 stats_reset. Header comment 'proposals is ~73k rows' is stale against 87,403 (D5).	TODAY: total row-visits = 88×89/2 × 1,000 = 3,916,000 against 87,403 rows a keyset walk would touch = ~45× amplification; 867.3 s measured. AFTER PR3 MULTIPLIES DATA: quadratic — proposals at 3× (262k rows) gives 262 pages and 34.4M row-visits, ~9× today's cost for 3× the data. Note the header comme	FIX-984
